negatives
"frozenset({'Alpha6Beta4Integrin', 'Q7L576', 'Q9NZC7'})"
"frozenset({'Q9UHD1', 'Alpha6Beta4Integrin', 'P68363'})"
"frozenset({'Alpha6Beta4Integrin', 'O43291', 'Q14008'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N1F7', 'P19320'})"
"frozenset({'Alpha6Beta4Integrin', 'P37837', 'Q8N720'})"
"frozenset({'Q7KZ85', 'Alpha6Beta4Integrin', 'Q9NRC8'})"
"frozenset({'O95989', 'P56377', 'Alpha6Beta4Integrin'})"
"frozenset({'P28562', 'Alpha6Beta4Integrin', 'P31152'})"
"frozenset({'Q9H4L4', 'Alpha6Beta4Integrin', 'Q53HL2'})"
"frozenset({'Q68CQ4', 'Alpha6Beta4Integrin', 'P04629'})"
"frozenset({'Alpha6Beta4Integrin', 'P08069', 'P61981'})"
"frozenset({'Q3MIN7', 'Alpha6Beta4Integrin', 'P11233'})"
"frozenset({'Q8TEJ3', 'Q9BPZ7', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q5S007', 'P46100'})"
"frozenset({'Q9BWT3', 'Alpha6Beta4Integrin', 'O60293'})"
"frozenset({'Q12840', 'Alpha6Beta4Integrin', 'Q13625'})"
"frozenset({'Q92522', 'Alpha6Beta4Integrin', 'P17861'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99616', 'O00590'})"
"frozenset({'Alpha6Beta4Integrin', 'P36952', 'Q9GZZ1'})"
"frozenset({'Alpha6Beta4Integrin', 'O75390', 'P61421'})"
"frozenset({'O00560', 'Alpha6Beta4Integrin', 'P19320'})"
"frozenset({'P25789', 'Alpha6Beta4Integrin', 'P61289'})"
"frozenset({'Q9NPB6', 'Alpha6Beta4Integrin', 'P42858'})"
"frozenset({'P04792', 'Alpha6Beta4Integrin', 'P51532'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14457', 'Q14683'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NYQ7', 'P06241'})"
"frozenset({'Q53H64', 'Alpha6Beta4Integrin', 'Q53QW1'})"
"frozenset({'P61024', 'Alpha6Beta4Integrin', 'Q04864'})"
"frozenset({'Q13233', 'Alpha6Beta4Integrin', 'Q16543'})"
"frozenset({'Alpha6Beta4Integrin', 'O43741', 'Q96PF1'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N392', 'P17081'})"
"frozenset({'P63241', 'Alpha6Beta4Integrin', 'P46777'})"
"frozenset({'Q71U36', 'Alpha6Beta4Integrin', 'P20591'})"
"frozenset({'Alpha6Beta4Integrin', 'P63173', 'P41252'})"
"frozenset({'P63092', 'P30556', 'Alpha6Beta4Integrin'})"
"frozenset({'P17948', 'Alpha6Beta4Integrin', 'P52798'})"
"frozenset({'Alpha6Beta4Integrin', 'P55039', 'P11142'})"
"frozenset({'Alpha6Beta4Integrin', 'P05067', 'Q9UN70'})"
"frozenset({'Alpha6Beta4Integrin', 'P46531', 'Q9Y2L9'})"
"frozenset({'Q92769', 'Alpha6Beta4Integrin', 'Q9UBU8'})"
"frozenset({'P49588', 'Alpha6Beta4Integrin', 'Q6FI81'})"
"frozenset({'Alpha6Beta4Integrin', 'P62424', 'P23396'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96GE4', 'P61981'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15554', 'P46939'})"
"frozenset({'P49773', 'Alpha6Beta4Integrin', 'P52565'})"
"frozenset({'Alpha6Beta4Integrin', 'P24941', 'P50613'})"
"frozenset({'Q96KQ4', 'O43255', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13705', 'Q15796', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6P1W5', 'Alpha6Beta4Integrin', 'Q93062'})"
"frozenset({'P17174', 'Alpha6Beta4Integrin', 'P04818'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N4T8', 'Q2QGD7'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13094', 'P22681'})"
"frozenset({'Alpha6Beta4Integrin', 'Q08380', 'P04629'})"
"frozenset({'P62807', 'Alpha6Beta4Integrin', 'O95619'})"
"frozenset({'P61326', 'Alpha6Beta4Integrin', 'O75478'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13315', 'A0AV96'})"
"frozenset({'Q9P2K3', 'Alpha6Beta4Integrin', 'P05067'})"
"frozenset({'Q5T3I0', 'Alpha6Beta4Integrin', 'Q96P20'})"
"frozenset({'Q8NDZ2', 'Alpha6Beta4Integrin', 'Q9UBS4'})"
"frozenset({'Alpha6Beta4Integrin', 'P50542', 'Q9P0U1'})"
"frozenset({'A8MQ03', 'Q7RTU3', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UBS0', 'O43242', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6UXN9', 'Alpha6Beta4Integrin', 'Q9P2I0'})"
"frozenset({'Alpha6Beta4Integrin', 'P55036', 'P12883'})"
"frozenset({'Alpha6Beta4Integrin', 'P08238', 'Q9BUU2'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BXN2', 'O60238'})"
"frozenset({'Alpha6Beta4Integrin', 'O15228', 'P04629'})"
"frozenset({'Q9P2D0', 'Alpha6Beta4Integrin', 'Q8N5L8'})"
"frozenset({'P62993', 'Alpha6Beta4Integrin', 'P08922'})"
"frozenset({'Q13409', 'Q9H8V3', 'Alpha6Beta4Integrin'})"
"frozenset({'P46527', 'O15131', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P60409', 'P43353'})"
"frozenset({'Alpha6Beta4Integrin', 'P09651', 'P46776'})"
"frozenset({'Q99436', 'Alpha6Beta4Integrin', 'P55036'})"
"frozenset({'Alpha6Beta4Integrin', 'P20783', 'P08069'})"
"frozenset({'Q6UXN9', 'P55072', 'Alpha6Beta4Integrin'})"
"frozenset({'P47755', 'Q96N67', 'Alpha6Beta4Integrin'})"
"frozenset({'P27361', 'Alpha6Beta4Integrin', 'Q06124'})"
"frozenset({'Q8N3U4', 'Alpha6Beta4Integrin', 'O14579'})"
"frozenset({'Q5T7P8', 'Alpha6Beta4Integrin', 'P05067'})"
"frozenset({'P35354', 'Alpha6Beta4Integrin', 'P06241'})"
"frozenset({'P29353', 'Alpha6Beta4Integrin', 'P12314'})"
"frozenset({'Alpha6Beta4Integrin', 'P10275', 'P20815'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UM00', 'Q8IWL3'})"
"frozenset({'P06753', 'Alpha6Beta4Integrin', 'P36873'})"
"frozenset({'Alpha6Beta4Integrin', 'P33981', 'Q66GS9'})"
"frozenset({'Q9NPJ6', 'Alpha6Beta4Integrin', 'O60566'})"
"frozenset({'Q14999', 'Alpha6Beta4Integrin', 'P17987'})"
"frozenset({'Alpha6Beta4Integrin', 'P55201', 'P33991'})"
"frozenset({'Q7KZF4', 'Alpha6Beta4Integrin', 'P29083'})"
"frozenset({'O00716', 'Alpha6Beta4Integrin', 'P36406'})"
"frozenset({'Q9Y3C7', 'Alpha6Beta4Integrin', 'P49336'})"
"frozenset({'O43865', 'Alpha6Beta4Integrin', 'Q8TAF3'})"
"frozenset({'P63104', 'Alpha6Beta4Integrin', 'O95544'})"
"frozenset({'P02768', 'O43504', 'Alpha6Beta4Integrin'})"
"frozenset({'P48549', 'Alpha6Beta4Integrin', 'P62873'})"
"frozenset({'Alpha6Beta4Integrin', 'Q5BJF6', 'O00571'})"
"frozenset({'Q9Y462', 'Alpha6Beta4Integrin', 'Q13315'})"
"frozenset({'P27361', 'Alpha6Beta4Integrin', 'P18146'})"
"frozenset({'Q9UNL4', 'Alpha6Beta4Integrin', 'Q99878'})"
"frozenset({'Q00987', 'Q92905', 'Alpha6Beta4Integrin'})"
"frozenset({'P06401', 'Alpha6Beta4Integrin', 'P23771'})"
"frozenset({'Q9UQ88', 'Alpha6Beta4Integrin', 'P21127'})"
"frozenset({'Q5T751', 'Alpha6Beta4Integrin', 'Q2TAL6'})"
"frozenset({'P32242', 'Alpha6Beta4Integrin', 'P60412'})"
"frozenset({'Alpha6Beta4Integrin', 'P28331', 'Q6NUS6'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13136', 'Q86W92'})"
"frozenset({'O00214', 'Alpha6Beta4Integrin', 'Q13616'})"
"frozenset({'Q9H2U2', 'P21964', 'Alpha6Beta4Integrin'})"
"frozenset({'P60660', 'Q99714', 'Alpha6Beta4Integrin'})"
"frozenset({'P57105', 'Alpha6Beta4Integrin', 'Q14114'})"
"frozenset({'Q16665', 'Alpha6Beta4Integrin', 'P35318'})"
"frozenset({'Alpha6Beta4Integrin', 'P62244', 'Q9NX20'})"
"frozenset({'Alpha6Beta4Integrin', 'P14866', 'Q92620'})"
"frozenset({'Alpha6Beta4Integrin', 'P62263', 'P05412'})"
"frozenset({'Q9UPE1', 'Alpha6Beta4Integrin', 'Q9H6F5'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14999', 'P61313'})"
"frozenset({'Q5BKZ1', 'Alpha6Beta4Integrin', 'Q13618'})"
"frozenset({'Q08117', 'Alpha6Beta4Integrin', 'Q13131'})"
"frozenset({'Alpha6Beta4Integrin', 'Q16881', 'P04637'})"
"frozenset({'B0YJ81', 'Alpha6Beta4Integrin', 'P16615'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H3U1', 'Q8N960'})"
"frozenset({'Alpha6Beta4Integrin', 'Q02930', 'Q13237'})"
"frozenset({'O75533', 'Alpha6Beta4Integrin', 'Q9UJV9'})"
"frozenset({'P42338', 'Alpha6Beta4Integrin', 'P50150'})"
"frozenset({'P81605', 'Alpha6Beta4Integrin', 'P60033'})"
"frozenset({'Q96FV3', 'Alpha6Beta4Integrin', 'Q9Y4P3'})"
"frozenset({'Q9H171', 'Alpha6Beta4Integrin', 'Q9UL18'})"
"frozenset({'Q96QV6', 'P46063', 'Alpha6Beta4Integrin'})"
"frozenset({'H3BR10', 'Q96G97', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99436', 'Alpha6Beta4Integrin', 'P35637'})"
"frozenset({'P05388', 'Q01844', 'Alpha6Beta4Integrin'})"
"frozenset({'Q01844', 'O15234', 'Alpha6Beta4Integrin'})"
"frozenset({'P10276', 'Alpha6Beta4Integrin', 'P09874'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UBU9', 'P11021'})"
"frozenset({'Alpha6Beta4Integrin', 'P09651', 'P04083'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9HC77', 'Q9UBB4'})"
"frozenset({'P15311', 'Alpha6Beta4Integrin', 'P30480'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BXB1', 'Q8TER5'})"
"frozenset({'P18621', 'Alpha6Beta4Integrin', 'P05412'})"
"frozenset({'P28749', 'Alpha6Beta4Integrin', 'O15162'})"
"frozenset({'Q9UHD2', 'Alpha6Beta4Integrin', 'Q9H6Z9'})"
"frozenset({'P62330', 'Alpha6Beta4Integrin', 'Q02241'})"
"frozenset({'O15156', 'Alpha6Beta4Integrin', 'P32969'})"
"frozenset({'Alpha6Beta4Integrin', 'O00144', 'Q8N474'})"
"frozenset({'Q9P0N5', 'Alpha6Beta4Integrin', 'Q96S66'})"
"frozenset({'Alpha6Beta4Integrin', 'O00571', 'P04637'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99816', 'P46940'})"
"frozenset({'Q9BV40', 'Alpha6Beta4Integrin', 'O43752'})"
"frozenset({'Alpha6Beta4Integrin', 'O95678', 'Q8IYS1'})"
"frozenset({'Alpha6Beta4Integrin', 'P43686', 'Q99459'})"
"frozenset({'Alpha6Beta4Integrin', 'O75787', 'Q7L804'})"
"frozenset({'Alpha6Beta4Integrin', 'P00519', 'Q15027'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9HA38', 'Q9C0B1'})"
"frozenset({'O60831', 'Alpha6Beta4Integrin', 'Q8IX19'})"
"frozenset({'P62158', 'Alpha6Beta4Integrin', 'Q15750'})"
"frozenset({'P61247', 'Alpha6Beta4Integrin', 'Q9HCK5'})"
"frozenset({'P17612', 'Q9Y6M4', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13698', 'Alpha6Beta4Integrin', 'Q9Y5P8'})"
"frozenset({'P50991', 'Alpha6Beta4Integrin', 'Q969R5'})"
"frozenset({'Alpha6Beta4Integrin', 'P43360', 'P62714'})"
"frozenset({'O00139', 'Alpha6Beta4Integrin', 'Q96K37'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y4K3', 'O00231'})"
"frozenset({'P84077', 'Alpha6Beta4Integrin', 'Q9H0R8'})"
"frozenset({'Q15459', 'Alpha6Beta4Integrin', 'P05412'})"
"frozenset({'O14958', 'Q9NZM5', 'Alpha6Beta4Integrin'})"
"frozenset({'O75031', 'Alpha6Beta4Integrin', 'Q96GN5'})"
"frozenset({'P42262', 'Alpha6Beta4Integrin', 'Q16854'})"
"frozenset({'Q9HAV7', 'Alpha6Beta4Integrin', 'Q09666'})"
"frozenset({'Alpha6Beta4Integrin', 'P15924', 'Q13573'})"
"frozenset({'Alpha6Beta4Integrin', 'P49639', 'Q6A162'})"
"frozenset({'Alpha6Beta4Integrin', 'P04626', 'Q9H299'})"
"frozenset({'Q9NS91', 'Q96S55', 'Alpha6Beta4Integrin'})"
"frozenset({'P21281', 'P55060', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96RT1', 'Alpha6Beta4Integrin', 'O95405'})"
"frozenset({'P55327', 'Alpha6Beta4Integrin', 'P15311'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UNL2', 'P07910'})"
"frozenset({'Q9H173', 'Alpha6Beta4Integrin', 'Q3ZCQ8'})"
"frozenset({'Alpha6Beta4Integrin', 'P17987', 'Q7Z4S6'})"
"frozenset({'Q9HB03', 'Alpha6Beta4Integrin', 'Q8N307'})"
"frozenset({'P19012', 'Alpha6Beta4Integrin', 'P62328'})"
"frozenset({'Alpha6Beta4Integrin', 'O76076', 'Q2VPK5'})"
"frozenset({'Alpha6Beta4Integrin', 'P26599', 'Q13137'})"
"frozenset({'Q9BRK4', 'Alpha6Beta4Integrin', 'P53618'})"
"frozenset({'P48736', 'Alpha6Beta4Integrin', 'P16520'})"
"frozenset({'Q5VIR6', 'Alpha6Beta4Integrin', 'Q93009'})"
"frozenset({'Alpha6Beta4Integrin', 'O43143', 'O15226'})"
"frozenset({'Q9BQ95', 'P10632', 'Alpha6Beta4Integrin'})"
"frozenset({'P17612', 'Alpha6Beta4Integrin', 'Q86UR1'})"
"frozenset({'P62314', 'P68104', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N726', 'P62140'})"
"frozenset({'Alpha6Beta4Integrin', 'Q02880', 'P49327'})"
"frozenset({'P30154', 'Alpha6Beta4Integrin', 'P32119'})"
"frozenset({'P61960', 'Alpha6Beta4Integrin', 'Q99614'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UBX2', 'P26373'})"
"frozenset({'O14640', 'Alpha6Beta4Integrin', 'Q8N752'})"
"frozenset({'Q13451', 'Alpha6Beta4Integrin', 'O43542'})"
"frozenset({'Alpha6Beta4Integrin', 'P25963', 'P67870'})"
"frozenset({'O00217', 'Q9NX40', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q05516', 'Q9BUZ4'})"
"frozenset({'P08238', 'Alpha6Beta4Integrin', 'Q9UK97'})"
"frozenset({'Alpha6Beta4Integrin', 'P05412', 'P53539'})"
"frozenset({'Q14008', 'Alpha6Beta4Integrin', 'Q9H8H2'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NZL6', 'Q92963'})"
"frozenset({'Q05397', 'Alpha6Beta4Integrin', 'P62256'})"
"frozenset({'P40189', 'P29353', 'Alpha6Beta4Integrin'})"
"frozenset({'O75410', 'O95359', 'Alpha6Beta4Integrin'})"
"frozenset({'P23229', 'Alpha6Beta4Integrin', 'Q16363'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y255', 'P48039'})"
"frozenset({'O43491', 'Alpha6Beta4Integrin', 'Q9Y2J2'})"
"frozenset({'Q9NY12', 'Alpha6Beta4Integrin', 'Q99496'})"
"frozenset({'Alpha6Beta4Integrin', 'P21359', 'Q9UPQ3'})"
"frozenset({'Q5S007', 'Alpha6Beta4Integrin', 'P78527'})"
"frozenset({'O00221', 'Q92974', 'Alpha6Beta4Integrin'})"
"frozenset({'Q7Z3B4', 'Alpha6Beta4Integrin', 'P52948'})"
"frozenset({'Q8IVF7', 'Alpha6Beta4Integrin', 'P04629'})"
"frozenset({'Q9Y6H1', 'Alpha6Beta4Integrin', 'Q96KQ7'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BRQ6', 'P05067'})"
"frozenset({'Alpha6Beta4Integrin', 'P16220', 'P40425'})"
"frozenset({'Alpha6Beta4Integrin', 'Q07955', 'P02751'})"
"frozenset({'Q13422', 'Alpha6Beta4Integrin', 'O95644'})"
"frozenset({'Q75NE6', 'Alpha6Beta4Integrin', 'P38936'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14966', 'Q9UPQ3'})"
"frozenset({'Alpha6Beta4Integrin', 'P42336', 'Q9P2W1'})"
"frozenset({'Q5HYW2', 'Alpha6Beta4Integrin', 'Q0VD86'})"
"frozenset({'Q86XR8', 'Q9Y520', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P19087', 'O75916'})"
"frozenset({'Q15165', 'Alpha6Beta4Integrin', 'O75787'})"
"frozenset({'P61960', 'Alpha6Beta4Integrin', 'Q12931'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BQ39', 'Q9NR30'})"
"frozenset({'Alpha6Beta4Integrin', 'P49770', 'O00425'})"
"frozenset({'Alpha6Beta4Integrin', 'Q09161', 'Q9Y265'})"
"frozenset({'P38484', 'P01242', 'Alpha6Beta4Integrin'})"
"frozenset({'P10415', 'Alpha6Beta4Integrin', 'P31751'})"
"frozenset({'Alpha6Beta4Integrin', 'Q63ZY3', 'Q96IQ9'})"
"frozenset({'Alpha6Beta4Integrin', 'O00141', 'P39023'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H257', 'Q7Z3I7'})"
"frozenset({'Q15435', 'Alpha6Beta4Integrin', 'P11055'})"
"frozenset({'Q9HC98', 'Alpha6Beta4Integrin', 'P36406'})"
"frozenset({'Q9H0F5', 'Alpha6Beta4Integrin', 'O15350'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13616', 'Q14896'})"
"frozenset({'O95988', 'Q13064', 'Alpha6Beta4Integrin'})"
"frozenset({'P54257', 'Alpha6Beta4Integrin', 'P78334'})"
"frozenset({'Alpha6Beta4Integrin', 'Q6PCT2', 'Q92636'})"
"frozenset({'Q02447', 'Alpha6Beta4Integrin', 'Q00987'})"
"frozenset({'O95793', 'Alpha6Beta4Integrin', 'Q96GQ7'})"
"frozenset({'Alpha6Beta4Integrin', 'A1L020', 'P04629'})"
"frozenset({'Q9Y6K9', 'Alpha6Beta4Integrin', 'P52294'})"
"frozenset({'P55290', 'O75330', 'Alpha6Beta4Integrin'})"
"frozenset({'P51572', 'Q5HYA8', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96Q27', 'Q86VP6'})"
"frozenset({'Q6IC98', 'Alpha6Beta4Integrin', 'O95257'})"
"frozenset({'O00214', 'Q6UVK1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9ULH0', 'Alpha6Beta4Integrin', 'P01106'})"
"frozenset({'Alpha6Beta4Integrin', 'P35222', 'Q92597'})"
"frozenset({'P38919', 'Q96QV6', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q66GS9', 'Q53EZ4'})"
"frozenset({'P43632', 'Alpha6Beta4Integrin', 'P04222'})"
"frozenset({'P28347', 'Q9UJU2', 'Alpha6Beta4Integrin'})"
"frozenset({'P32121', 'Q8NGZ6', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P0DPB3', 'Q9UKU6'})"
"frozenset({'Q9NQC3', 'Alpha6Beta4Integrin', 'P55157'})"
"frozenset({'O75665', 'Alpha6Beta4Integrin', 'Q16543'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H160', 'Q01167'})"
"frozenset({'P04181', 'Q8TCT1', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BX93', 'Q92896'})"
"frozenset({'P49406', 'Alpha6Beta4Integrin', 'P19320'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15904', 'P05129'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13469', 'Q92922'})"
"frozenset({'Q9UIK4', 'Alpha6Beta4Integrin', 'Q96RT8'})"
"frozenset({'Q9UF33', 'Alpha6Beta4Integrin', 'P52798'})"
"frozenset({'Alpha6Beta4Integrin', 'P08648', 'P11047'})"
"frozenset({'P41208', 'Alpha6Beta4Integrin', 'P17987'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N5A5', 'Q13547'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y5Q9', 'O75530'})"
"frozenset({'Q6R327', 'Alpha6Beta4Integrin', 'P31749'})"
"frozenset({'Alpha6Beta4Integrin', 'P09486', 'P37173'})"
"frozenset({'Alpha6Beta4Integrin', 'P15927', 'P39687'})"
"frozenset({'Alpha6Beta4Integrin', 'P05387', 'P02751'})"
"frozenset({'Alpha6Beta4Integrin', 'P11021', 'Q9NVX0'})"
"frozenset({'Alpha6Beta4Integrin', 'P36639', 'Q7L5N1'})"
"frozenset({'Alpha6Beta4Integrin', 'O43889', 'Q13976'})"
"frozenset({'Alpha6Beta4Integrin', 'P13762', 'P62258'})"
"frozenset({'O00471', 'Alpha6Beta4Integrin', 'Q15047'})"
"frozenset({'P51449', 'Alpha6Beta4Integrin', 'Q92793'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8IVD9', 'Q04837'})"
"frozenset({'Alpha6Beta4Integrin', 'P49418', 'Q16659'})"
"frozenset({'Q13185', 'Alpha6Beta4Integrin', 'Q86T82'})"
"frozenset({'P62917', 'Alpha6Beta4Integrin', 'P15880'})"
"frozenset({'Alpha6Beta4Integrin', 'Q7RTU3', 'Q9BYR6'})"
"frozenset({'P43657', 'Q5HYI7', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y2D8', 'Q9NQZ8'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15717', 'P48729'})"
"frozenset({'P01106', 'Alpha6Beta4Integrin', 'O15350'})"
"frozenset({'Q14954', 'O43914', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15717', 'Q9NR00'})"
"frozenset({'P10073', 'P57086', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P11021', 'P15056'})"
"frozenset({'P01106', 'Alpha6Beta4Integrin', 'Q8IUF8'})"
"frozenset({'P19429', 'Alpha6Beta4Integrin', 'P62714'})"
"frozenset({'P13797', 'Alpha6Beta4Integrin', 'P04818'})"
"frozenset({'P12830', 'Alpha6Beta4Integrin', 'O60645'})"
"frozenset({'Alpha6Beta4Integrin', 'P35226', 'P04843'})"
"frozenset({'Q8WWY3', 'O75533', 'Alpha6Beta4Integrin'})"
"frozenset({'Q06265', 'Alpha6Beta4Integrin', 'Q6SJ93'})"
"frozenset({'Alpha6Beta4Integrin', 'P60953', 'Q9UNA1'})"
"frozenset({'O14964', 'Alpha6Beta4Integrin', 'Q13464'})"
"frozenset({'Alpha6Beta4Integrin', 'P19320', 'P67809'})"
"frozenset({'Q6UWQ5', 'Alpha6Beta4Integrin', 'Q8WTP9'})"
"frozenset({'P49238', 'Alpha6Beta4Integrin', 'Q99731'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NRM7', 'Q1MSJ5'})"
"frozenset({'P68366', 'Alpha6Beta4Integrin', 'Q96QT6'})"
"frozenset({'Q13310', 'Alpha6Beta4Integrin', 'P78362'})"
"frozenset({'Q3SXM5', 'Alpha6Beta4Integrin', 'Q00169'})"
"frozenset({'Q5T7M9', 'Alpha6Beta4Integrin', 'Q401N2'})"
"frozenset({'P60520', 'Alpha6Beta4Integrin', 'P51648'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NTN9', 'Q93062'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8WYA0', 'Q9Y2I6'})"
"frozenset({'Q6UVJ0', 'Alpha6Beta4Integrin', 'Q9BRR8'})"
"frozenset({'Alpha6Beta4Integrin', 'P52907', 'Q9Y3F4'})"
"frozenset({'O00567', 'Alpha6Beta4Integrin', 'Q7L0Y3'})"
"frozenset({'A1A4S6', 'Alpha6Beta4Integrin', 'Q07889'})"
"frozenset({'P34949', 'Alpha6Beta4Integrin', 'Q9NR45'})"
"frozenset({'Q9Y608', 'Alpha6Beta4Integrin', 'Q504Q3'})"
"frozenset({'Alpha6Beta4Integrin', 'P21453', 'P08908'})"
"frozenset({'Q9H2G2', 'Alpha6Beta4Integrin', 'P26951'})"
"frozenset({'Q9ULL4', 'Q92730', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BRK4', 'Alpha6Beta4Integrin', 'O43463'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y6F9', 'O75197'})"
"frozenset({'O60216', 'Alpha6Beta4Integrin', 'Q8NDV3'})"
"frozenset({'Alpha6Beta4Integrin', 'P07948', 'Q13094'})"
"frozenset({'P61073', 'Alpha6Beta4Integrin', 'P01730'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14165', 'Q2MV58'})"
"frozenset({'P35579', 'Alpha6Beta4Integrin', 'P49407'})"
"frozenset({'O60870', 'Alpha6Beta4Integrin', 'P12004'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96G61', 'Q9Y4K3'})"
"frozenset({'Q63HR2', 'Q6P1W5', 'Alpha6Beta4Integrin'})"
"frozenset({'P62987', 'Q13200', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P11802', 'P16402'})"
"frozenset({'P32121', 'Alpha6Beta4Integrin', 'Q8NGB8'})"
"frozenset({'Q8WVK7', 'Q14203', 'Alpha6Beta4Integrin'})"
"frozenset({'Q12800', 'Alpha6Beta4Integrin', 'Q99496'})"
"frozenset({'Alpha6Beta4Integrin', 'O43172', 'O60925'})"
"frozenset({'Q9NZQ7', 'Q6NUQ1', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UNN5', 'P59046'})"
"frozenset({'Q9UGY1', 'Alpha6Beta4Integrin', 'O75683'})"
"frozenset({'Q9H6D8', 'Alpha6Beta4Integrin', 'Q14151'})"
"frozenset({'Q00796', 'Alpha6Beta4Integrin', 'P00338'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8IVL5', 'P38159'})"
"frozenset({'Alpha6Beta4Integrin', 'Q7KZN9', 'O60783'})"
"frozenset({'Q9UIV1', 'Alpha6Beta4Integrin', 'Q9NZN8'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99490', 'Q13255'})"
"frozenset({'Alpha6Beta4Integrin', 'P49736', 'P35268'})"
"frozenset({'P62266', 'Alpha6Beta4Integrin', 'Q86VP6'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H6Z4', 'P46776'})"
"frozenset({'P60660', 'P24941', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q09161', 'Q12982'})"
"frozenset({'Q8NFH3', 'Alpha6Beta4Integrin', 'O15504'})"
"frozenset({'Q99750', 'Alpha6Beta4Integrin', 'Q7RTU3'})"
"frozenset({'Q92569', 'P63218', 'Alpha6Beta4Integrin'})"
